2026-07-22 23:35:05,756 | INFO | ai_data_analyst.app.common.timing | DatasetLoaderService.load executed in 1.0660 seconds
2026-07-22 23:35:05,758 | INFO | ai_data_analyst.app.services.dataset_service | Dataset cached successfully.
2026-07-22 23:35:05,758 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Generating metadata for dataset 'NETFLIX.xlsx'.
2026-07-22 23:35:05,788 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Metadata generated successfully.
2026-07-22 23:35:05,789 | INFO | ai_data_analyst.app.common.timing | DatasetMetadataService.generate executed in 0.0306 seconds
2026-07-22 23:35:05,789 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata generated.
2026-07-22 23:35:05,789 | INFO | ai_data_analyst.app.services.dataset_profile_service | Generating dataset profile.
2026-07-22 23:35:05,808 | INFO | ai_data_analyst.app.services.dataset_profile_service | Dataset profile generated successfully.
2026-07-22 23:35:05,808 | INFO | ai_data_analyst.app.common.timing | DatasetProfileService.generate executed in 0.0194 seconds
2026-07-22 23:35:05,808 | INFO | ai_data_analyst.app.services.dataset_service | Dataset profile generated.
2026-07-22 23:35:05,809 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Generating dataset statistics.
2026-07-22 23:35:05,844 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Dataset statistics generated successfully.
2026-07-22 23:35:05,845 | INFO | ai_data_analyst.app.common.timing | DatasetStatisticsService.generate executed in 0.0359 seconds
2026-07-22 23:35:05,845 | INFO | ai_data_analyst.app.services.dataset_service | Dataset statistics generated.
2026-07-22 23:35:05,846 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata saved.
2026-07-22 23:35:05,847 | INFO | ai_data_analyst.app.common.timing | DatasetService.load_dataset executed in 1.1575 seconds
2026-07-22 23:35:05,848 | INFO | ai_data_analyst.app.routes.upload | Dataset uploaded successfully.
2026-07-22 23:35:05,849 | INFO | ai_data_analyst.app.common.timing | upload_dataset executed in 1.1626 seconds
2026-07-22 23:50:02,599 | INFO | ai_data_analyst.app.routes.analysis | Executing analysis operation: summary
2026-07-22 23:50:02,600 | INFO | ai_data_analyst.app.services.analysis_engine | Generating complete dataset summary.
2026-07-22 23:50:02,600 | INFO | ai_data_analyst.app.services.analysis_engine | Retrieving active dataset.
2026-07-22 23:50:02,697 | INFO | ai_data_analyst.app.services.analysis_engine | Complete dataset summary generated successfully.
2026-07-22 23:50:02,698 | INFO | ai_data_analyst.app.common.timing | AnalysisEngine.summary executed in 0.0981 seconds
2026-07-22 23:50:02,698 | INFO | ai_data_analyst.app.routes.analysis | Analysis operation 'summary' completed.
2026-07-22 23:50:02,698 | INFO | ai_data_analyst.app.common.timing | execute executed in 0.0988 seconds
2026-07-22 23:50:30,335 | INFO | ai_data_analyst.app.routes.analysis | Executing analysis operation: summary
2026-07-22 23:50:30,336 | INFO | ai_data_analyst.app.services.analysis_engine | Generating complete dataset summary.
2026-07-22 23:50:30,336 | INFO | ai_data_analyst.app.services.analysis_engine | Retrieving active dataset.
2026-07-22 23:50:30,477 | INFO | ai_data_analyst.app.services.analysis_engine | Complete dataset summary generated successfully.
2026-07-22 23:50:30,477 | INFO | ai_data_analyst.app.common.timing | AnalysisEngine.summary executed in 0.1416 seconds
2026-07-22 23:50:30,477 | INFO | ai_data_analyst.app.routes.analysis | Analysis operation 'summary' completed.
2026-07-22 23:50:30,477 | INFO | ai_data_analyst.app.common.timing | execute executed in 0.1423 seconds
2026-07-22 23:51:58,586 | INFO | ai_data_analyst.app.routes.analysis | Executing analysis operation: descriptive
2026-07-22 23:51:58,586 | INFO | ai_data_analyst.app.services.analysis_engine | Running descriptive analysis.
2026-07-22 23:51:58,586 | INFO | ai_data_analyst.app.services.analysis_engine | Retrieving active dataset.
2026-07-22 23:51:58,594 | INFO | ai_data_analyst.app.common.timing | AnalysisEngine.descriptive executed in 0.0075 seconds
2026-07-22 23:51:58,594 | INFO | ai_data_analyst.app.routes.analysis | Analysis operation 'descriptive' completed.
2026-07-22 23:51:58,594 | INFO | ai_data_analyst.app.common.timing | execute executed in 0.0082 seconds
2026-07-23 00:02:55,911 | INFO | ai_data_analyst.app.routes.analysis | Executing analysis operation: summary
2026-07-23 00:02:55,911 | INFO | ai_data_analyst.app.services.analysis_engine | Generating complete dataset summary.
2026-07-23 00:02:55,911 | INFO | ai_data_analyst.app.services.analysis_engine | Retrieving active dataset.
2026-07-23 00:02:56,008 | INFO | ai_data_analyst.app.services.analysis_engine | Complete dataset summary generated successfully.
2026-07-23 00:02:56,009 | INFO | ai_data_analyst.app.common.timing | AnalysisEngine.summary executed in 0.0979 seconds
